K,Train Error,Test Error,Metric
2,0.013620136201362014,0.015539689206215875,braycurtis
4,0.016800168001680018,0.019499610007799845,braycurtis
8,0.023460234602346024,0.024659506809863802,braycurtis
16,0.03033030330303303,0.03257934841303174,braycurtis
32,0.03831038310383104,0.039239215215695684,braycurtis
64,0.04818048180481805,0.0500989980200396,braycurtis
128,0.060060600606006063,0.06149877002459951,braycurtis
256,0.07467074670746708,0.07709845803083938,braycurtis
512,0.09360093600936009,0.09425811483770324,braycurtis
1024,0.12018120181201812,0.12047759044819104,braycurtis
2048,0.15459154591545915,0.15263694726105478,braycurtis
4096,0.1989319893198932,0.19697606047879043,braycurtis
2,0.014550145501455015,0.01367972640547189,braycurtis
4,0.018360183601836017,0.01637967240655187,braycurtis
8,0.024360243602436025,0.022859542809143818,braycurtis
16,0.031590315903159034,0.03005939881202376,braycurtis
32,0.03906039060390604,0.037739245215095696,braycurtis
64,0.04884048840488405,0.04877902441951161,braycurtis
128,0.060600606006060063,0.060418791624167516,braycurtis
256,0.07620076200762008,0.07403851922961541,braycurtis
512,0.0943809438094381,0.09269814603707925,braycurtis
1024,0.12135121351213513,0.11813763724725505,braycurtis
2048,0.15459154591545915,0.15263694726105478,braycurtis
4096,0.1995619956199562,0.19571608567828644,braycurtis
2,0.014609707805843882,0.013560542421696868,braycurtis
4,0.017939641207175856,0.017220688827553104,braycurtis
8,0.02375952480950381,0.02406096243849754,braycurtis
16,0.03131937361252775,0.03060122404896196,braycurtis
32,0.038489230215395694,0.03888155526221049,braycurtis
64,0.049439011219775605,0.04758190327613104,braycurtis
128,0.06095878082438351,0.05970238809552382,braycurtis
256,0.0755684886302274,0.07530301212048482,braycurtis
512,0.09347813043739125,0.09450378015120604,braycurtis
1024,0.11930761384772305,0.12222488899555982,braycurtis
2048,0.15263694726105478,0.15654626185047402,braycurtis
4096,0.19634607307853844,0.20214808592343694,braycurtis
2,0.021180211802118022,0.02111957760844783,canberra
4,0.024930249302493025,0.0248995020099598,canberra
8,0.03147031470314703,0.03317933641327173,canberra
16,0.04143041430414304,0.04265914681706366,canberra
32,0.05073050730507305,0.053278934421311576,canberra
64,0.06453064530645307,0.06647867042659147,canberra
128,0.08046080460804608,0.08093838123237536,canberra
256,0.1015810158101581,0.10313793724125518,canberra
512,0.13206132061320613,0.13265734685306294,canberra
1024,0.17490174901749017,0.1744165116697666,canberra
2048,0.23529235292352924,0.23483530329393412,canberra
4096,0.31902319023190234,0.3159536809263815,canberra
2,0.02085020850208502,0.021779564408711826,canberra
4,0.024780247802478023,0.0251994960100798,canberra
8,0.032520325203252036,0.03107937841243175,canberra
16,0.04233042330423304,0.040859182816343674,canberra
32,0.052440524405244056,0.0498590028199436,canberra
64,0.06552065520655206,0.06449871002579949,canberra
128,0.08082080820808209,0.08021839563208735,canberra
256,0.1029910299102991,0.1003179936401272,canberra
512,0.13284132841328414,0.13109737805243896,canberra
1024,0.17496174961749617,0.1742965140697186,canberra
2048,0.23463234632346325,0.2361552768944621,canberra
4096,0.3162031620316203,0.32159356812863743,canberra
K,Train Error,Test Error,Metric
2,0.02112021120211202,0.02123957520849583,canberra
4,0.024690246902469026,0.025379492410151798,canberra
8,0.032340323403234034,0.03143937121257575,canberra
16,0.04212042120421204,0.04127917441651167,canberra
32,0.051780517805178054,0.05117897642047159,canberra
64,0.06495064950649507,0.06563868722625547,canberra
128,0.08040080400804007,0.08105837883242335,canberra
256,0.1020610206102061,0.10217795644087119,canberra
512,0.13374133741337413,0.12929741405171896,canberra
1024,0.17544175441754417,0.17333653326933463,canberra
2048,0.23598235982359825,0.23345533089338213,canberra
4096,0.3178231782317823,0.3183536329273415,canberra
2,0.02082020820208202,0.021839563208735827,canberra
4,0.024870248702487024,0.0250194996100078,canberra
8,0.031320313203132034,0.03347933041339173,canberra
16,0.041550415504155044,0.04241915161696766,canberra
32,0.05094050940509405,0.052858942821143576,canberra
64,0.06441064410644107,0.06671866562668746,canberra
128,0.07986079860798607,0.08213835723285534,canberra
256,0.10155101551015511,0.10319793604127918,canberra
512,0.13128131281312813,0.1342173156536869,canberra
1024,0.17382173821738217,0.17657646847063058,canberra
2048,0.23349233492334923,0.23843523129537408,canberra
4096,0.3170431704317043,0.31991360172796546,canberra
2,0.021539569208615827,0.020400816032641305,canberra
4,0.0251994960100798,0.02436097443897756,canberra
8,0.03245935081298374,0.031201248049921998,canberra
16,0.04184916301673967,0.041821672866914676,canberra
32,0.05201895962080758,0.05070202808112324,canberra
64,0.06617867642647147,0.06318252730109204,canberra
128,0.08159836803263935,0.07866314652586104,canberra
256,0.10268794624107518,0.10092403696147846,canberra
512,0.13175736485270295,0.13326533061322454,canberra
1024,0.1749565008699826,0.17430697227889116,canberra
2048,0.23594528109437812,0.23352934117364696,canberra
4096,0.31913361732765344,0.3157326293051722,canberra
2,0.07740077400774008,0.0743985120297594,chebyshev
4,0.10998109981099811,0.10727785444291114,chebyshev
8,0.14355143551435515,0.14231715365692685,chebyshev
16,0.17325173251732517,0.17033659326813463,chebyshev
32,0.2078120781207812,0.1994960100797984,chebyshev
64,0.24282242822428224,0.2357352852942941,chebyshev
128,0.27660276602766026,0.26927461450770984,chebyshev
256,0.31158311583115833,0.3023339533209336,chebyshev
512,0.34959349593495936,0.34067318653626927,chebyshev
1024,0.3891338913389134,0.3814723705525889,chebyshev
2048,0.42876428764287644,0.42863142737145254,chebyshev
4096,0.4705247052470525,0.47093058138837224,chebyshev
2,0.07683076830768308,0.0755384892302154,chebyshev
4,0.10932109321093211,0.10859782804343913,chebyshev
8,0.14334143341433414,0.14273714525709486,chebyshev
